Country,"Country ISO",Region,"Region ISO",Population,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
Dominica,DM,,,72813,0/0/16038/0/74,0/0/16038/0/74,0/0/15760/0/74,0/0/16047/0/74,0/0/16047/0/74,0/0/16047/0/74,0/0/16047/0/74,0/0/16047/0/74,0/0/16047/0/74
"Dominican Republic",DO,,,9823821,7367193/0/661180/0/4384,0/0/661180/0/4384,0/0/661180/0/4384,0/0/661181/0/4384,0/0/661103/0/4384,0/0/661103/0/4384,0/0/661103/0/4384,0/0/661103/0/4384,0/0/661103/0/4384
Ecuador,EC,,,14790608,0/0/1066409/0/36036,0/0/1062896/0/36019,0/0/1067457/0/36032,0/0/1075679/0/36047,0/0/1076052/0/36048,0/0/1076265/0/36049,0/0/1076782/0/36050,0/0/1077288/0/36050,0/0/1077445/0/36050
Egypt,EG,,,80471869,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830
"El Salvador",SV,,,6052064,0/0/201835/0/4230,0/0/201853/0/4230,0/0/201810/0/4230,0/0/201864/0/4230,0/0/201865/0/4230,0/0/201872/0/4230,0/0/201895/0/4230,0/0/201917/0/4230,0/0/201920/0/4230
"Equatorial Guinea",GQ,,,1014999,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183
Eritrea,ER,,,5792984,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103
Estonia,EE,,,1324820,870086/0/607188/0/2962,870135/0/609520/0/2986,870153/0/610070/0/2994,870160/0/610294/0/2997,870174/0/610346/0/2998,870180/0/610427/0/2998,870189/0/610471/0/2998,870201/0/610471/0/2998,870213/0/610471/0/2998
Eswatini,SZ,,,1354051,0/0/75191/0/1427,0/0/75191/0/1427,0/0/75191/0/1427,0/0/75191/0/1427,0/0/75191/0/1427,0/0/75356/0/1427,0/0/75356/0/1427,0/0/75356/0/1427,0/0/75356/0/1427
Ethiopia,ET,,,88013491,0/0/501117/0/7574,0/0/501117/0/7574,0/0/501157/0/7574,0/0/501158/0/7574,0/0/501167/0/7574,0/0/501171/0/7574,0/0/501175/0/7574,0/0/501193/0/7574,0/0/501193/0/7574
Fiji,FJ,,,875983,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885
Finland,FI,,,5517919,0/0/1499712/0/11364,4524288/0/1499712/0/11423,0/0/1499712/0/11466,0/0/1499712/0/11466,0/0/1499712/0/11466,0/0/1499712/0/11466,0/0/1499712/0/11466,0/0/1499712/0/11466,0/0/1499712/0/11466
France,FR,,,67012883,0/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/168091,0/0/38997490/0/168091,0/0/38997490/0/168091,0/0/38997490/0/168091,0/0/38997490/0/168091,0/0/38997490/0/168091
France,FR,"French Guiana",GF-GF,290691,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413
France,FR,"French Polynesia",PF-PF,275918,0/0/79227/0/649,0/0/79254/0/650,0/0/79254/0/650,0/0/79301/0/650,0/0/79302/0/650,0/0/79302/0/650,0/0/79313/0/650,0/0/79340/0/650,0/0/79387/0/650
France,FR,Guadeloupe,FR-GP,394110,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,Martinique,FR-MQ,376480,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,Mayotte,FR-YT,256518,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,"New Caledonia",NC-NC,271407,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80163/0/314,0/0/80163/0/314,0/0/80163/0/314,0/0/80163/0/314
France,FR,Reunion,RE-RE,859959,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921
France,FR,"Saint Barthelemy",FR-BL,9793,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,"Saint Pierre and Miquelon",FR-PM,6008,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,"St Martin",FR-MF,35107,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,"Wallis and Futuna",FR-WF,11558,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Gabon,GA,,,1545255,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307
Gambia,GM,,,1593256,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12627/0/372,0/0/12627/0/372,0/0/12627/0/372,0/0/12627/0/372
Georgia,GE,,,3723464,0/0/1855289/0/17132,0/0/1855289/0/17132,0/0/1855289/0/17132,0/0/1862497/0/17132,0/0/1862754/0/17150,0/0/1863059/0/17150,0/0/1863101/0/17150,0/0/1863615/0/17150,0/0/1863615/0/17150
Germany,DE,,,83019213,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979
Ghana,GH,,,24339838,0/0/171834/0/1462,0/0/171834/0/1462,0/0/171834/0/1462,0/0/171875/0/1462,0/0/171990/0/1462,0/0/172029/0/1462,0/0/172052/0/1462,0/0/172062/0/1462,0/0/172062/0/1462
Greece,GR,,,10724599,7937102/0/5533964/0/38224,7937536/0/5611832/0/38806,7937725/0/5623101/0/38930,7937823/0/5628528/0/38986,7937922/0/5633047/0/39005,7937985/0/5635903/0/39019,7938031/0/5647653/0/39077,0/0/5667863/0/39218,0/0/5673681/0/39258
Grenada,GD,,,107818,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238
Guadeloupe,GP,,,443000,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021
Guatemala,GT,,,13550440,0/0/1250304/0/20201,0/0/1250319/0/20201,0/0/1250288/0/20200,0/0/1250338/0/20202,0/0/1250355/0/20215,0/0/1250359/0/20203,0/0/1250364/0/20203,0/0/1250370/0/20203,0/0/1250371/0/20203
Guernsey,GG,,,65228,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67
Guinea-Bissau,GW,,,1565126,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177
Guinea,GN,,,10324025,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468
Guyana,GY,,,748486,0/0/73681/0/1299,0/0/74129/0/1300,0/0/73805/0/1300,0/0/74099/0/1301,0/0/74120/0/1301,0/0/74129/0/1301,0/0/74312/0/1302,0/0/74439/0/1302,0/0/74443/0/1302
Haiti,HT,,,9648924,0/0/34509/0/860,0/0/34509/0/860,0/0/34298/0/860,0/0/34298/0/860,0/0/34298/0/860,0/0/34298/0/860,0/0/34298/0/860,0/0/34456/0/860,0/0/34456/0/860
"Holy See",VA,,,921,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0
Honduras,HN,,,7989415,0/0/472743/0/11114,0/0/472755/0/11114,0/0/472774/0/11114,0/0/472785/0/11114,0/0/472788/0/11114,0/0/472792/0/11114,0/0/472872/0/11114,0/0/472895/0/11114,0/0/472896/0/11114
Hungary,HU,,,9772756,0/0/2223831/0/48917,0/0/2229538/0/49022,0/0/2230159/0/49045,0/0/2230293/0/49049,0/0/2230371/0/49051,0/0/2230423/0/49051,0/0/2230485/0/49051,0/0/2230657/0/49053,0/0/2230800/0/49053
Iceland,IS,,,356991,0/0/209650/0/186,0/0/209878/0/186,0/0/209899/0/186,0/0/209915/0/186,0/0/209932/0/186,0/0/209979/0/186,0/0/210136/0/186,0/0/210347/0/186,0/0/210374/0/186
India,IN,,,1173108018,0/0/45013908/0/533364,1027421795/0/45025076/0/533445,1027429444/0/45029035/0/533478,1027438309/0/45034360/0/533552,1027438533/0/45036953/0/533585,1027438654/0/45039510/0/533612,1027438787/0/45040618/0/533622,1027438890/0/45041435/0/533623,1027438924/0/45041748/0/533623
Indonesia,ID,,,242968342,0/0/6821911/0/161974,0/0/6827669/0/162045,0/0/6828367/0/162050,0/0/6828942/0/162056,0/0/6828969/0/162058,0/0/6829029/0/162058,0/0/6829219/0/162058,0/0/6829353/0/162059,0/0/6829399/0/162059
Iran,IR,,,76923300,0/0/7625463/0/146757,0/0/7626230/0/146785,0/0/7627186/0/146811,0/0/7627186/0/146811,0/0/7627863/0/146837,0/0/7627863/0/146837,0/0/7627863/0/146837,0/0/7627863/0/146837,0/0/7627863/0/146837
Iraq,IQ,,,29671605,0/0/2465545/0/25375,0/0/2465545/0/25375,0/0/2465545/0/25375,0/0/2465545/0/25375,0/0/2465545/0/25375,0/0/2465545/0/25375,0/0/2465545/0/25375,0/0/2465545/0/25375,0/0/2465545/0/25375
Ireland,IE,,,4904240,0/0/1727436/0/9369,4111392/0/1732675/0/9450,0/0/1734296/0/9523,0/0/1735149/0/9579,4111970/0/1735829/0/9603,4112237/0/1736902/0/9625,0/0/1740618/0/9669,0/0/1744327/0/9735,0/0/1745088/0/9744
Israel,IL,,,7353985,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707
Italy,IT,,,60359546,0/0/26517706/0/193886,0/0/26699442/0/195996,0/0/26712200/0/196599,0/0/26718988/0/196910,0/0/26721052/0/196995,0/0/26722730/0/197018,0/0/26727644/0/197081,0/0/26774728/0/197301,0/0/26781078/0/197307
Jamaica,JM,,,2847232,0/0/156584/0/3590,0/0/156704/0/3591,0/0/156776/0/3593,0/0/156806/0/3597,0/0/156821/0/3600,0/0/156846/0/3600,0/0/157018/0/3601,0/0/157169/0/3611,0/0/157181/0/3611
Japan,JP,,,127288000,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694
Jersey,JE,,,90812,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161
Jordan,JO,,,6407085,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122
Kazakhstan,KZ,,,15340000,0/0/1502857/0/19072,0/0/1503205/0/19072,0/0/1503687/0/19072,0/0/1503687/0/19072,0/0/1503687/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072
Kenya,KE,,,40046566,0/0/344094/0/5689,0/0/344094/0/5689,0/0/344094/0/5689,0/0/344101/0/5689,0/0/344101/0/5689,0/0/344101/0/5689,0/0/344104/0/5689,0/0/344106/0/5689,0/0/344106/0/5689
Kiribati,KI,,,92533,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24
"Korea, North",KP,,,22912177,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Korea, South",KR,,,48422644,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934
Kosovo,XK,,,1795666,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212
Kuwait,KW,,,2789132,0/0/666586/0/2570,0/0/666960/0/2570,0/0/667139/0/2570,0/0/667185/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570
Kyrgyzstan,KG,,,5776500,0/0/88934/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024
Laos,LA,,,6368162,0/0/218906/0/671,0/0/218914/0/671,0/0/218940/0/671,0/0/218962/0/671,0/0/219030/0/671,0/0/219045/0/671,0/0/219056/0/671,0/0/219060/0/671,0/0/219060/0/671
Latvia,LV,,,1919968,0/0/977701/0/7465,0/0/977701/0/7465,0/0/977701/0/7465,0/0/977701/0/7465,0/0/977701/0/7465,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475
Lebanon,LB,,,4125247,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947
Lesotho,LS,,,1919552,0/0/36135/0/709,0/0/36135/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709
Liberia,LR,,,3685076,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294
Libya,LY,,,6461454,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437
Liechtenstein,LI,,,38378,0/0/21558/0/87,0/0/21571/0/89,0/0/21574/0/89,0/0/21575/0/89,0/0/21575/0/89,0/0/21576/0/89,0/0/21579/0/89,0/0/21588/0/89,0/0/21588/0/89
Lithuania,LT,,,2794184,1958148/0/1359230/0/9773,1958229/0/1361865/0/9788,1958245/0/1364592/0/9799,1958258/0/1365783/0/9802,1958270/0/1366199/0/9804,1958286/0/1366537/0/9805,1958291/0/1367127/0/9807,1958299/0/1368548/0/9810,1958300/0/1369355/0/9810
Luxembourg,LU,,,613894,0/0/389005/0/1000,0/0/390788/0/1000,0/0/391134/0/1000,0/0/391270/0/1000,0/0/391347/0/1000,0/0/391473/0/1000,0/0/392202/0/1000,0/0/393352/0/1000,0/0/393542/0/1000
"MS Zaandam",,,,1829,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Macao,MO,,,449198,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Madagascar,MG,,,21281844,0/0/68471/0/1426,0/0/68475/0/1426,0/0/68486/0/1426,0/0/68493/0/1426,0/0/68521/0/1427,0/0/68546/0/1427,0/0/68555/0/1427,0/0/68567/0/1428,0/0/68567/0/1428
Malawi,MW,,,15447500,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686
Malaysia,MY,,,28274729,28137597/0/5206724/0/37268,28137910/0/5269967/0/37340,28138015/0/5274786/0/37347,28138100/0/5278406/0/37348,28138157/0/5280589/0/37350,28138217/0/5283624/0/37350,28138274/0/5298347/0/37351,28138547/0/5308325/0/37351,28138569/0/5309410/0/37351
Maldives,MV,,,395650,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316
Mali,ML,,,13796354,0/0/33164/0/743,0/0/33164/0/743,0/0/33164/0/743,0/0/33164/0/743,0/0/33164/0/743,0/0/33164/0/743,0/0/33164/0/743,0/0/33166/0/743,0/0/33166/0/743
Malta,MT,,,493559,0/0/120862/0/887,478953/0/121283/0/906,478953/0/121393/0/903,478953/0/121409/0/905,0/0/121422/0/905,0/0/121480/0/907,0/0/121849/0/910,0/0/122716/0/921,0/0/122796/0/922
"Marshall Islands",MH,,,65859,0/0/16138/0/17,0/0/16138/0/17,0/0/16138/0/17,0/0/16178/0/17,0/0/16178/0/17,0/0/16248/0/17,0/0/16252/0/17,0/0/16297/0/17,0/0/16297/0/17
Martinique,MQ,,,432900,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104
Mauritania,MR,,,3205060,0/0/63773/0/997,0/0/63809/0/997,0/0/63845/0/997,0/0/63848/0/997,0/0/63848/0/997,0/0/63865/0/997,0/0/63868/0/997,0/0/63872/0/997,0/0/63872/0/997
Mauritius,MU,,,1294104,0/0/321419/0/1058,0/0/324332/0/1066,0/0/327256/0/1070,0/0/327305/0/1070,0/0/327305/0/1070,0/0/327305/0/1070,0/0/327305/0/1070,0/0/328167/0/1073,0/0/328167/0/1073
Mayotte,YT,,,159042,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187
Mexico,MX,,,112468855,0/0/7702809/0/334958,0/0/7702809/0/334958,0/0/7702809/0/334958,0/0/7709747/0/335011,0/0/7709747/0/335011,0/0/7709747/0/335011,0/0/7616323/0/334500,0/0/7619118/0/334551,0/0/7619458/0/334551
Micronesia,FM,,,107708,0/0/26547/0/65,0/0/26547/0/65,0/0/26547/0/65,0/0/26547/0/65,0/0/26547/0/65,0/0/26547/0/65,0/0/26460/0/65,0/0/31765/0/65,0/0/31765/0/65
Moldova,MD,,,3547539,0/0/629501/0/12167,0/0/633670/0/12197,0/0/634934/0/12216,0/0/635389/0/12231,0/0/635614/0/12234,0/0/635684/0/12237,0/0/635810/0/12239,0/0/636777/0/12243,0/0/637520/0/12245
Monaco,MC,,,38300,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67
Mongolia,MN,,,3086918,0/0/1011420/0/2284,0/0/1011453/0/2284,0/0/1011479/0/2284,0/0/1011517/0/2284,0/0/1011463/0/2136,0/0/1011481/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136
Montenegro,ME,,,622182,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654
Morocco,MA,,,31627428,0/0/1278269/0/16300,0/0/1278752/0/16301,0/0/1278988/0/16303,0/0/1279024/0/16304,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305
Mozambique,MZ,,,22061451,0/0/233731/0/2250,0/0/233731/0/2250,0/0/233731/0/2250,0/0/233772/0/2252,0/0/233792/0/2252,0/0/233811/0/2252,0/0/233834/0/2252,0/0/233843/0/2252,0/0/233843/0/2252
Namibia,NA,,,2128471,0/0/172239/0/4103,0/0/172264/0/4103,0/0/172323/0/4103,0/0/172399/0/4106,0/0/172404/0/4108,0/0/172411/0/4108,0/0/172500/0/4108,0/0/172533/0/4108,0/0/172533/0/4108
Nauru,NR,,,10065,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1
Nepal,NP,,,28951852,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031
Netherlands,NL,,,17282163,0/0/8627693/0/22986,0/0/8633769/0/22986,0/0/8635061/0/22986,0/0/8635901/0/22986,0/0/8636147/0/22986,0/0/8636457/0/22986,0/0/8637525/0/22986,0/0/8639625/0/22986,0/0/8640008/0/22986
Netherlands,NL,Aruba,AW-AW,112309,0/0/44224/0/292,90545/0/44224/0/292,90545/0/44224/0/292,90546/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292
Netherlands,NL,"Bonaire, Sint Eustatius and Saba",NL-BQ,25157,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Curacao,NL-CW,158665,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Drenthe,NL-DR,493449,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Flevoland,NL-FL,422202,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Friesland,NL-FR,649988,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Gelderland,NL-GE,2084478,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Groningen,NL-GR,585881,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Limburg,NL-LI,1118223,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Noord-Brabant,NL-NB,2562566,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Noord-Holland,NL-NH,2877909,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Overijssel,NL-OV,1162215,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,"Sint Maarten",NL-SX,41486,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Utrecht,NL-UT,1353596,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Zeeland,NL-ZE,383689,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Zuid-Holland,NL-ZH,3705625,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"New Zealand",NZ,,,4252277,0/0/2440375/0/3623,0/0/2470690/0/3748,0/0/2490078/0/3817,0/0/2573972/0/3916,0/0/2585152/0/3965,0/0/2598397/0/4027,0/0/2626621/0/4145,0/0/2637318/0/4268,0/0/2639048/0/4284
Nicaragua,NI,,,5995928,0/0/16088/0/245,0/0/16116/0/245,0/0/15729/0/245,0/0/16137/0/245,0/0/16142/0/245,0/0/16147/0/245,0/0/16165/0/245,0/0/16183/0/245,0/0/16185/0/245
Niger,NE,,,15878271,0/0/9515/0/315,0/0/9515/0/315,0/0/9515/0/315,0/0/9515/0/315,0/0/9515/0/315,0/0/9515/0/315,0/0/9518/0/315,0/0/9518/0/315,0/0/9518/0/315
Nigeria,NG,,,154000000,0/0/267173/0/3155,0/0/267173/0/3155,0/0/267188/0/3155,0/0/267188/0/3155,0/0/267188/0/3155,0/0/267188/0/3155,0/0/267188/0/3155,0/0/267188/0/3155,0/0/267188/0/3155
