Country,"Country ISO",Region,"Region ISO",Population,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
Belgium,BE,,,11455519,0/0/4841934/0/34339,0/0/4855952/0/34339,0/0/4859522/0/34339,0/0/4861011/0/34339,0/0/4861560/0/34339,0/0/4862394/0/34339,0/0/4865822/0/34339,0/0/4871552/0/34339,0/0/4872829/0/34339
Belize,BZ,,,314522,0/0/71373/0/688,0/0/71381/0/688,0/0/70804/0/688,0/0/71409/0/688,0/0/71409/0/688,0/0/71409/0/688,0/0/71408/0/688,0/0/71414/0/688,0/0/71414/0/688
Benin,BJ,,,9056010,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163
Bhutan,BT,,,699847,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21
Bolivia,BO,,,9947418,0/0/1211716/0/22385,0/0/1211716/0/22385,0/0/1198017/0/22383,0/0/1212131/0/22387,0/0/1212131/0/22387,0/0/1212131/0/22387,0/0/1212144/0/22387,0/0/1212145/0/22387,0/0/1212147/0/22387
"Bosnia and Herzegovina",BA,,,3502550,0/0/403468/0/16378,0/0/403565/0/16382,0/0/403601/0/16386,0/0/403627/0/16388,0/0/403637/0/16388,0/0/403644/0/16388,0/0/403651/0/16388,0/0/403666/0/16392,0/0/403666/0/16392
Botswana,BW,,,2029307,0/0/330417/0/2800,0/0/330417/0/2800,0/0/330417/0/2800,0/0/330643/0/2801,0/0/330650/0/2801,0/0/330650/0/2801,0/0/330650/0/2801,0/0/330696/0/2801,0/0/330696/0/2801
Brazil,BR,,,201103330,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116
Brunei,BN,,,395027,0/0/330776/0/171,0/0/342260/0/178,0/0/343367/0/178,0/0/343770/0/178,0/0/343936/0/178,0/0/344486/0/178,0/0/345823/0/178,0/0/347435/0/178,0/0/347723/0/179
Bulgaria,BG,,,7000039,0/0/1321120/0/38613,0/0/1327689/0/38681,0/0/1328764/0/38691,0/0/1329171/0/38700,0/0/1329250/0/38700,0/0/1329329/0/38700,0/0/1329465/0/38700,0/0/1329731/0/38700,0/0/1329988/0/38700
"Burkina Faso",BF,,,16241811,0/0/22109/0/400,0/0/22109/0/400,0/0/22109/0/400,0/0/22120/0/400,0/0/22122/0/400,0/0/22128/0/400,0/0/22131/0/400,0/0/22139/0/400,0/0/22139/0/400
Burma,MM,,,53414374,0/0/641448/0/19494,0/0/641687/0/19494,0/0/641806/0/19494,0/0/641951/0/19494,0/0/642092/0/19494,0/0/642413/0/19494,0/0/642733/0/19494,0/0/642859/0/19494,0/0/642885/0/19494
Burundi,BI,,,9863117,0/0/54455/0/15,0/0/54546/0/15,0/0/54565/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15
"Cabo Verde",CV,,,508659,0/0/64474/0/416,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417
Cambodia,KH,,,14453680,0/0/139014/0/3056,0/0/139082/0/3056,0/0/139093/0/3056,0/0/139100/0/3056,0/0/139113/0/3056,0/0/139145/0/3056,0/0/139290/0/3056,0/0/139313/0/3056,0/0/139319/0/3056
Cameroon,CM,,,19294149,0/0/125137/0/1974,0/0/125137/0/1974,0/0/125137/0/1974,0/0/125146/0/1974,0/0/125179/0/1974,0/0/125235/0/1974,0/0/125239/0/1974,0/0/125246/0/1974,0/0/125246/0/1974
Canada,CA,,,33679000,0/0/4750768/0/53595,0/0/4773910/0/54127,0/0/4780494/0/54326,0/0/4787135/0/54261,0/0/4791350/0/54328,0/0/4812470/0/55103,0/0/4816758/0/55218,0/0/4819017/0/55282,0/0/4819055/0/55282
Canada,CA,Alberta,CA-AB,4067175,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Canada,CA,"British Columbia",CA-BC,4648055,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Canada,CA,"Diamond Princess",,3711,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Canada,CA,"Grand Princess",,3533,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Canada,CA,Manitoba,CA-MB,1278365,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Canada,CA,"New Brunswick",CA-NB,747101,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Canada,CA,"Newfoundland and Labrador",CA-NL,519716,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Canada,CA,"Northwest Territories",CA-NT,41786,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
