Country,"Country ISO",Region,"Region ISO",Population,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
Denmark,DK,Greenland,GL-GL,55992,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/0/0/0
"Diamond Princess",,,,3711,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/712/0/13,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Djibouti,DJ,,,740528,175939/309732/15675/0/189,201787/0/15690/0/189,211044/0/15690/0/189,225843/0/15690/0/189,239808/0/15690/0/189,261033/0/15690/0/189,308523/0/15690/0/189,317428/0/15690/0/189,0/0/15690/0/189,365993/0/15690/0/189,369044/0/15690/0/189,372077/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,421573/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/0/0/0
Dominica,DM,,,72813,32747/205366/14184/0/65,32872/0/14852/0/68,0/0/14852/0/68,32872/0/14852/0/68,32989/0/15747/0/74,32995/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15760/0/74,0/0/15798/0/74,0/0/16027/0/74,0/0/16038/0/74,0/0/16038/0/74,0/0/15760/0/74,0/0/16047/0/74,0/0/16047/0/74,0/0/0/0/0
"Dominican Republic",DO,,,9823821,7221479/3354353/584029/0/4377,7238300/3444251/605784/0/4383,7255385/0/628213/0/4383,7271058/0/638500/0/4384,7282727/0/644356/0/4384,7290341/0/647272/0/4384,7296172/0/650381/0/4384,7300382/0/655540/0/4384,7305984/0/660095/0/4384,7310612/0/660533/0/4384,7315127/0/660937/0/4384,7318829/0/661045/0/4384,7322815/0/661176/0/4384,7327741/0/662418/0/4384,7339055/0/667048/0/4384,7348978/0/667048/0/4384,7352139/0/667073/0/4384,0/0/667074/0/4384,7362851/0/661180/0/4384,7367193/0/661180/0/4384,0/0/661180/0/4384,0/0/661180/0/4384,0/0/661181/0/4384,0/0/661181/0/4384,0/0/0/0/0
Ecuador,EC,,,14790608,15167714/2810685/877282/0/35637,15191519/2870685/909882/0/35725,15218422/0/961345/0/35801,15237333/0/995968/0/35843,0/0/1003778/0/35894,0/0/1008035/0/35920,15293861/0/1011132/0/35940,15315909/0/1040463/0/35940,15324257/0/1051239/0/35942,15329151/0/1056578/0/36008,15333873/0/1059009/0/36017,0/0/1061100/0/36019,0/0/1062275/0/36019,0/0/1067327/0/36034,0/0/1069114/0/36042,0/0/1069114/0/36042,0/0/1069135/0/36043,0/0/1069139/0/36043,0/0/1065377/0/36036,0/0/1066409/0/36036,0/0/1062896/0/36019,0/0/1067457/0/36032,0/0/1075679/0/36047,0/0/1076089/0/36048,0/0/0/0/0
Egypt,EG,,,80471869,47851408/0/515645/0/24718,50399016/0/515645/0/24723,51718920/0/515645/0/24765,52544598/0/515645/0/24794,52995443/0/515645/0/24797,53496777/0/515645/0/24798,53646548/0/515645/0/24798,53731514/0/515645/0/24801,54046147/0/515645/0/24805,55155346/0/515698/0/24809,56207225/0/515882/0/24821,56709060/0/515970/0/24826,56907319/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/516023/0/24830,0/0/0/0/0
"El Salvador",SV,,,6052064,4605489/1833335/162755/0/4132,4615720/1921625/169646/0/4144,4630037/0/190818/0/4194,0/0/201785/0/4223,0/0/201785/0/4229,4652597/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201785/0/4230,0/0/201807/0/4230,0/0/201809/0/4230,0/0/201833/0/4230,0/0/201835/0/4230,0/0/201853/0/4230,0/0/201810/0/4230,0/0/201864/0/4230,0/0/201865/0/4230,0/0/0/0/0
"Equatorial Guinea",GQ,,,1014999,265505/0/15921/0/183,267610/484554/16034/0/183,270109/0/16723/0/183,0/0/16956/0/183,0/0/17012/0/183,0/0/17171/0/183,0/0/17183/0/183,0/0/17186/0/183,0/0/17190/0/183,0/0/17229/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/17130/0/183,0/0/0/0/0
Eritrea,ER,,,5792984,0/0/9759/0/103,0/0/9799/0/103,0/0/10045/0/103,0/0/10154/0/103,0/0/10170/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/10189/0/103,0/0/0/0/0
Estonia,EE,,,1324820,862166/3402180/576870/0/2574,863189/3425068/580114/0/2591,864426/0/586399/0/2620,866110/0/597838/0/2651,867084/0/601993/0/2681,867776/0/606633/0/2739,868261/0/609297/0/2790,868572/0/611891/0/2854,868967/0/613903/0/2912,869131/0/615119/0/2940,869259/0/616699/0/2965,869322/0/618155/0/3001,869352/0/618956/0/3001,869369/0/601588/0/2898,869387/0/601746/0/2900,869403/0/601851/0/2901,869431/0/602187/0/2902,869610/0/602478/0/2902,869949/0/602909/0/2906,870086/0/607188/0/2962,870135/0/609520/0/2986,870153/0/610070/0/2994,870160/0/610294/0/2997,870174/0/610335/0/2998,870175/0/0/0/0
Eswatini,SZ,,,1354051,387468/542576/72510/0/1409,0/549656/73109/0/1416,410506/0/73280/0/1417,410506/0/73367/0/1422,492300/0/73390/0/1422,0/0/73558/0/1422,0/0/73770/0/1422,507582/0/74021/0/1422,507582/0/74133/0/1422,511632/0/74199/0/1423,511632/0/74323/0/1425,526050/0/74627/0/1425,526050/0/74670/0/1425,526050/0/74882/0/1427,0/0/74882/0/1427,0/0/74882/0/1427,0/0/74996/0/1427,0/0/75094/0/1427,0/0/75166/0/1427,0/0/75191/0/1427,0/0/75191/0/1427,0/0/75191/0/1427,0/0/75191/0/1427,0/0/75191/0/1427,0/0/0/0/0
Ethiopia,ET,,,88013491,0/4904442/472743/0/7513,44365594/5024643/488724/0/7536,43111242/0/492237/0/7568,0/0/493190/0/7572,0/0/493579/0/7572,0/0/493960/0/7572,0/0/494578/0/7572,0/0/498001/0/7572,43791263/0/499531/0/7572,0/0/499986/0/7572,43896866/0/500564/0/7573,0/0/500834/0/7574,52489512/0/500899/0/7574,0/0/500920/0/7574,0/0/500946/0/7574,0/0/501032/0/7574,0/0/501060/0/7574,0/0/501060/0/7574,0/0/501087/0/7574,0/0/501117/0/7574,0/0/501117/0/7574,0/0/501157/0/7574,0/0/501158/0/7574,0/0/501165/0/7574,0/0/0/0/0
Fiji,FJ,,,875983,705871/537444/65007/0/864,706496/558519/65713/0/866,707899/0/67549/0/870,709257/0/68153/0/878,709998/0/68242/0/878,710660/0/68264/0/878,711256/0/68375/0/878,711556/0/68702/0/881,711715/0/68820/0/883,711826/0/68889/0/883,711950/0/68914/0/883,712025/0/68918/0/883,0/0/68921/0/883,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/69047/0/885,0/0/0/0/0
Finland,FI,,,5517919,4514232/10956886/1092193/0/4522,4517181/11038890/1145610/0/4875,4518264/0/1171034/0/5012,4520843/0/1258798/0/5577,4521963/0/1292940/0/5981,4522355/0/1348737/0/6568,4523315/0/1394254/0/7265,4524247/0/1438205/0/7933,4524351/0/1458619/0/8639,4524371/0/1462169/0/8892,4524423/0/1466778/0/9054,4524379/0/1473603/0/9308,4524455/0/1480363/0/9750,4524458/0/1482363/0/9974,4524418/0/1483208/0/10087,4524249/0/1484331/0/10171,0/0/1486084/0/10265,0/0/1489281/0/10280,0/0/1499712/0/10864,0/0/1499712/0/11364,4524288/0/1499712/0/11423,0/0/1499712/0/11466,0/0/1499712/0/11466,0/0/1499712/0/11466,0/0/0/0/0
France,FR,,,67012883,54404749/275242454/28703050/0/145101,54464925/278234000/30216647/0/146213,54522055/0/32872716/0/148603,54549214/0/33572631/0/150629,54572371/0/34412387/0/151589,54588188/0/35825887/0/153457,54610278/0/36829869/0/155384,54629601/0/38266999/0/158385,54649291/0/38482878/0/160618,54659291/0/38579269/0/161340,54667069/0/38719716/0/161997,54671998/0/38929391/0/162868,54675362/0/39041152/0/163642,54677388/0/38989382/0/167923,54677678/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/167985,0/0/38997490/0/168091,0/0/38997490/0/168091,0/0/0/0/0
France,FR,"French Guiana",GF-GF,290691,0/0/82952/0/397,0/0/86911/0/401,0/0/92575/0/404,0/0/93586/0/408,0/0/93974/0/410,0/0/94196/0/411,0/0/95451/0/411,0/0/97526/0/411,0/0/98028/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/98041/0/413,0/0/0/0/0
France,FR,"French Polynesia",PF-PF,275918,188352/0/72951/0/649,0/0/73268/0/649,0/0/75257/0/649,188352/0/76459/0/649,0/0/76599/0/649,190155/0/76758/0/649,190765/0/76985/0/649,0/0/77910/0/649,190908/0/77957/0/649,0/0/77957/0/649,0/0/78219/0/649,190908/0/78488/0/649,0/0/78590/0/649,0/0/78601/0/649,0/0/78617/0/649,0/0/78623/0/649,0/0/78632/0/649,0/0/78649/0/649,0/0/78700/0/649,0/0/79227/0/649,0/0/79254/0/650,0/0/79254/0/650,0/0/79301/0/650,0/0/79302/0/650,0/0/0/0/0
France,FR,Guadeloupe,FR-GP,394110,0/0/157865/0/947,0/0/168714/0/955,0/0/183018/0/965,0/0/191997/0/986,0/0/192801/0/989,0/0/196270/0/993,0/0/197918/0/995,0/0/198608/0/997,0/0/201394/0/1007,0/0/201852/0/1010,0/0/201886/0/1010,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,Martinique,FR-MQ,376480,0/0/162163/0/918,0/0/195912/0/965,0/0/209858/0/992,0/0/215582/0/1022,0/0/220192/0/1042,0/0/223728/0/1047,0/0/224468/0/1071,0/0/224826/0/1076,0/0/228512/0/1089,0/0/228875/0/1092,0/0/229020/0/1092,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,Mayotte,FR-YT,256518,0/0/37581/0/187,0/0/37877/0/187,0/0/38646/0/187,0/0/40004/0/187,0/0/40261/0/187,0/0/40320/0/187,0/0/41176/0/187,0/0/41969/0/187,0/0/42002/0/187,0/0/42004/0/187,0/0/42004/0/187,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,"New Caledonia",NC-NC,271407,188325/0/62193/0/313,188411/0/64337/0/313,188475/0/69796/0/314,0/0/74102/0/314,191568/0/74288/0/314,191613/0/74406/0/314,191660/0/76187/0/314,191672/0/79441/0/314,192241/0/79956/0/314,192302/0/80007/0/314,192367/0/80048/0/314,192375/0/80058/0/314,192375/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/80064/0/314,0/0/0/0/0
France,FR,Reunion,RE-RE,859959,0/0/414615/0/777,0/0/422769/0/812,0/0/434924/0/832,0/0/460376/0/861,0/0/476571/0/895,0/0/477959/0/899,0/0/480323/0/902,0/0/486659/0/906,0/0/493902/0/919,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/494595/0/921,0/0/0/0/0
France,FR,"Saint Barthelemy",FR-BL,9793,0/0/4630/0/6,0/0/4697/0/6,0/0/5055/0/6,0/0/5263/0/6,0/0/5285/0/6,0/0/5323/0/6,0/0/5348/0/6,0/0/5382/0/6,0/0/5420/0/6,0/0/5439/0/6,0/0/5441/0/6,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,"Saint Pierre and Miquelon",FR-PM,6008,0/0/2748/0/1,0/0/2779/0/1,0/0/3083/0/1,0/0/3131/0/1,0/0/3188/0/1,0/0/3231/0/1,0/0/3250/0/1,0/0/3349/0/2,0/0/3452/0/2,0/0/3452/0/2,0/0/3452/0/2,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,"St Martin",FR-MF,35107,0/0/10668/0/63,0/0/10952/0/63,0/0/11535/0/63,0/0/11941/0/63,0/0/11978/0/63,0/0/12026/0/63,0/0/12058/0/63,0/0/12104/0/63,0/0/12233/0/63,0/0/12257/0/63,0/0/12271/0/63,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
France,FR,"Wallis and Futuna",FR-WF,11558,0/0/454/0/7,0/0/454/0/7,0/0/761/0/7,0/0/761/0/7,0/0/761/0/7,0/0/3415/0/7,0/0/3415/0/7,0/0/3415/0/7,0/0/3427/0/7,0/0/3427/0/7,0/0/3427/0/7,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Gabon,GA,,,1545255,308235/1595381/47650/0/304,308857/1599902/47939/0/305,309473/0/48511/0/306,310170/0/48649/0/306,310579/0/48691/0/306,310842/0/48945/0/306,311040/0/48973/0/306,0/0/48980/0/306,0/0/48981/0/306,311244/0/48981/0/306,0/0/48981/0/306,0/0/48981/0/306,0/0/48992/0/307,0/0/48992/0/307,0/0/48992/0/307,0/0/48992/0/307,0/0/48992/0/307,0/0/48992/0/307,0/0/49046/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/49051/0/307,0/0/0/0/0
Gambia,GM,,,1593256,0/0/12002/0/365,449464/0/12002/0/365,0/0/12078/0/368,452514/0/12311/0/371,0/0/12508/0/372,0/0/12580/0/372,548701/0/12586/0/372,0/0/12586/0/372,934799/0/12586/0/372,934799/0/12586/0/372,674314/0/12598/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/12626/0/372,0/0/0/0/0
Georgia,GE,,,3723464,1626086/0/1657154/0/16827,1631237/0/1660429/0/16841,1639970/0/1686218/0/16859,1645776/0/1735682/0/16889,0/0/1780691/0/16900,1654504/0/1780691/0/16900,0/0/1805698/0/16888,0/0/1808820/0/16897,0/0/1814180/0/16926,0/0/1825598/0/16965,0/0/1833502/0/17019,0/0/1840187/0/17059,0/0/1843707/0/17087,0/0/1845538/0/17101,0/0/1845538/0/17101,0/0/1855289/0/17132,0/0/1855289/0/17132,0/0/1855289/0/17132,0/0/1855289/0/17132,0/0/1855289/0/17132,0/0/1855289/0/17132,0/0/1855289/0/17132,0/0/1862497/0/17132,0/0/1862754/0/17150,0/0/0/0/0
Germany,DE,,,83019213,64547798/130070765/26360953/0/139091,64704751/131286804/28293960/0/141189,64733551/0/30854175/0/143979,64764028/0/32184553/0/147494,64786318/0/33386229/0/150064,64803808/0/35619687/0/153694,64823008/0/36499600/0/157943,64848801/0/37369866/0/161465,64869796/0/37779833/0/165711,64872493/0/38168908/0/168086,64875969/0/38355236/0/171051,64876299/0/38403667/0/173044,0/0/38428446/0/174409,0/0/38435774/0/174807,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/38437756/0/174979,0/0/0/0/0
Ghana,GH,,,24339838,9786631/2447976/161370/0/1445,10443364/2465238/166133/0/1450,11153112/0/168007/0/1457,11351092/0/168580/0/1459,11471547/0/169100/0/1459,11837459/0/170707/0/1460,12034108/0/171009/0/1461,12163179/0/171048/0/1461,12853113/0/171112/0/1462,0/0/171172/0/1462,13221421/0/171527/0/1462,0/0/171653/0/1462,0/0/171653/0/1462,0/0/171653/0/1462,13864186/0/171653/0/1462,0/0/171653/0/1462,0/0/171653/0/1462,0/0/171653/0/1462,0/0/171768/0/1462,0/0/171834/0/1462,0/0/171834/0/1462,0/0/171834/0/1462,0/0/171875/0/1462,0/0/171966/0/1462,0/0/0/0/0
Greece,GR,,,10724599,7915709/82445411/3453229/0/29845,7919400/84483362/3676502/0/30232,7923314/0/4349423/0/30999,7926032/0/4762827/0/32552,7928423/0/4920192/0/33111,7930116/0/5135200/0/33574,7931482/0/5404690/0/34309,7932396/0/5548487/0/34779,7933418/0/5548487/0/34779,7933905/0/5548487/0/34779,7934529/0/5965643/0/36582,7934915/0/6018544/0/36754,7935351/0/6086580/0/37014,7935588/0/5336533/0/37194,7935867/0/5344865/0/37261,7936044/0/5370810/0/37413,7936230/0/5405742/0/37572,7936456/0/5443008/0/37748,7936833/0/5464525/0/37869,7937102/0/5533964/0/38224,7937536/0/5611832/0/38806,7937725/0/5623101/0/38930,7937823/0/5628528/0/38986,7937922/0/5632043/0/39003,7937927/0/0/0/0
Grenada,GD,,,107818,43618/166454/17750/0/226,43772/169195/18357/0/232,43878/0/18786/0/234,43969/0/19289/0/236,44093/0/19536/0/237,0/0/19591/0/237,44180/0/19631/0/237,0/0/19644/0/238,0/0/19680/0/238,0/0/19680/0/238,44241/0/19680/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/19693/0/238,0/0/0/0/0
Guadeloupe,GP,,,443000,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/201886/0/1010,0/0/202163/0/1012,0/0/202653/0/1017,0/0/202836/0/1017,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/203235/0/1021,0/0/0/0/0
Guatemala,GT,,,13550440,8226597/0/861002/0/18152,8307547/0/910714/0/18561,8387079/0/1042376/0/19037,8668534/0/1101954/0/19490,8792190/0/1124467/0/19795,8835536/0/1140499/0/19888,8849185/0/1156468/0/19951,8855740/0/1204132/0/20001,8885920/0/1227853/0/20106,8907364/0/1236406/0/20173,8924970/0/1244563/0/20187,8930737/0/1248171/0/20189,8933623/0/1252170/0/20200,0/0/1259507/0/20205,0/0/1271061/0/20235,0/0/1271061/0/20235,0/0/1271070/0/20235,0/0/1271070/0/20235,0/0/1250301/0/20201,0/0/1250304/0/20201,0/0/1250319/0/20201,0/0/1250288/0/20200,0/0/1250338/0/20202,0/0/1250354/0/20214,0/0/0/0/0
Guernsey,GG,,,65228,0/0/25579/0/47,0/0/27101/0/48,0/0/29924/0/54,0/0/30767/0/62,0/0/31309/0/63,0/0/32324/0/64,54222/0/32900/0/65,54223/0/33910/0/66,0/0/34715/0/66,0/0/34867/0/66,0/0/35235/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/35326/0/67,0/0/0/0/0
Guinea-Bissau,GW,,,1565126,0/138599/8269/0/171,529783/142948/8348/0/171,529954/0/8412/0/172,543650/0/8491/0/175,640393/0/8796/0/175,0/0/8848/0/176,0/0/8848/0/176,0/0/8947/0/176,0/0/8947/0/176,544256/0/8953/0/176,545131/0/9350/0/176,733271/0/9350/0/176,733271/0/9614/0/177,733271/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,747057/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/9614/0/177,0/0/0/0/0
Guinea,GN,,,10324025,5338820/692527/36764/0/442,4550563/708410/36817/0/442,4640906/0/37408/0/445,4637521/0/37470/0/447,5137173/0/37652/0/449,5209518/0/38047/0/456,5809781/0/38153/0/464,6087292/0/38210/0/466,0/0/38240/0/467,7661653/0/38267/0/467,7677166/0/38280/0/467,7679918/0/38462/0/467,0/0/38563/0/468,0/0/38563/0/468,0/0/38563/0/468,0/0/38563/0/468,0/0/38563/0/468,0/0/38563/0/468,0/0/38569/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/38572/0/468,0/0/0/0/0
Guyana,GY,,,748486,0/0/64763/0/1234,482339/0/67395/0/1254,485891/0/69807/0/1271,0/0/71035/0/1278,0/0/71340/0/1281,0/0/71437/0/1281,493404/0/71620/0/1285,493404/0/72163/0/1286,493404/0/72950/0/1294,495285/0/73069/0/1298,0/0/73114/0/1298,0/0/73162/0/1298,0/0/73240/0/1298,0/0/73324/0/1298,0/0/73385/0/1299,0/0/73385/0/1299,0/0/73387/0/1299,0/0/73388/0/1299,0/0/73673/0/1299,0/0/73681/0/1299,0/0/74129/0/1300,0/0/73805/0/1300,0/0/74099/0/1301,0/0/74109/0/1301,0/0/0/0/0
Haiti,HT,,,9648924,0/203660/30818/0/835,241385/206594/31550/0/837,249913/0/32263/0/838,254833/0/33551/0/841,361212/0/33733/0/857,397765/0/33811/0/857,398517/0/33846/0/860,0/0/33893/0/860,406534/0/34076/0/860,0/0/34143/0/860,463694/0/34202/0/860,465761/0/34228/0/860,0/0/34241/0/860,521396/0/34301/0/860,0/0/34301/0/860,0/0/34301/0/860,0/0/34326/0/860,0/0/34427/0/860,0/0/34493/0/860,0/0/34509/0/860,0/0/34509/0/860,0/0/34298/0/860,0/0/34298/0/860,0/0/34298/0/860,0/0/0/0/0
"Holy See",VA,,,921,0/0/29/0/0,0/0/29/0/0,0/0/29/0/0,0/0/29/0/0,0/0/29/0/0,0/0/29/0/0,0/0/29/0/0,0/0/29/0/0,0/0/29/0/0,0/0/29/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/26/0/0,0/0/0/0/0
Honduras,HN,,,7989415,0/0/425371/0/10899,6300528/0/427355/0/10906,6227168/0/439901/0/10932,6311485/0/453443/0/10972,6352088/0/456391/0/10993,6404041/0/456988/0/11037,6412724/0/458023/0/11043,6443311/0/465915/0/11071,6479241/0/470757/0/11104,6521901/0/472116/0/11111,6550968/0/472465/0/11111,6551299/0/472533/0/11112,6596213/0/472619/0/11116,0/0/472619/0/11116,0/0/474566/0/11127,0/0/474566/0/11127,0/0/474587/0/11127,0/0/474590/0/11127,0/0/472743/0/11114,0/0/472743/0/11114,0/0/472755/0/11114,0/0/472774/0/11114,0/0/472785/0/11114,0/0/472786/0/11114,0/0/0/0/0
Hungary,HU,,,9772756,6410059/0/1917777/0/46507,6411804/0/1928125/0/46647,6413420/0/1965481/0/46790,6416363/0/2048547/0/47291,6418057/0/2094142/0/47503,6419183/0/2141513/0/47938,6420202/0/2166352/0/48287,6420813/0/2185816/0/48495,0/0/2191827/0/48658,0/0/2194969/0/48745,0/0/2199146/0/48719,0/0/2201355/0/48762,0/0/2202887/0/48789,0/0/2203171/0/48797,0/0/2203289/0/48799,0/0/2203761/0/48803,0/0/2206311/0/48807,0/0/2207993/0/48817,0/0/2212994/0/48848,0/0/2223831/0/48917,0/0/2229538/0/49022,0/0/2230159/0/49045,0/0/2230293/0/49049,0/0/2230351/0/49051,0/0/0/0/0
