Country,"Country ISO",Region,"Region ISO",Population,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
Australia,AU,,,21515754,22321450/72005172/7346124/0/8601,22353997/73370295/8194909/0/9984,22397334/0/9473282/0/11957,22425788/0/10051647/0/13999,22443557/0/10240631/0/15221,0/0/10381125/0/15665,22236983/0/10742127/0/16203,22235469/0/11132933/0/17052,22236993/0/11295446/0/18615,22236698/0/11366361/0/19373,0/0/11101234/0/19511,0/0/11210651/0/20119,0/0/11420039/0/21063,0/0/11508834/0/21685,0/0/11560270/0/22482,0/0/11587275/0/22781,0/0/11608166/0/23129,0/0/11629977/0/23289,0/0/11678853/0/23766,0/0/11710216/0/24087,0/0/11762120/0/24548,0/0/11792675/0/24798,0/0/11822999/0/25020,0/0/11836372/0/25165,0/0/0/0/0
Australia,AU,"Australian Capital Territory",AU-ACT,406400,0/0/132735/0/64,0/0/158826/0/80,0/0/191457/0/92,0/0/202737/0/124,0/0/205752/0/126,0/0/208495/0/127,0/0/209414/0/129,0/0/224902/0/138,0/0/230820/0/152,0/0/232018/0/224,0/0/232974/0/228,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"New South Wales",AU-NSW,7797800,0/0/2589877/0/3179,0/0/2817248/0/3590,0/0/3196501/0/4165,0/0/3438117/0/4907,0/0/3507880/0/5314,0/0/3549295/0/5430,0/0/3640480/0/5540,0/0/3825104/0/5804,0/0/3875438/0/6218,0/0/3900969/0/6464,0/0/3915992/0/6529,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"Northern Territory",AU-NT,245000,0/0/72098/0/49,0/0/78709/0/53,0/0/91223/0/55,0/0/95765/0/68,0/0/97483/0/73,0/0/98498/0/75,0/0/99737/0/79,0/0/103002/0/84,0/0/104415/0/87,0/0/104931/0/90,0/0/105111/0/91,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,Queensland,AU-QLD,4883700,0/0/1183268/0/1057,0/0/1298031/0/1254,0/0/1517194/0/1567,0/0/1608401/0/1985,0/0/1641389/0/2239,0/0/1664371/0/2274,0/0/1693178/0/2331,0/0/1743616/0/2405,0/0/1781888/0/2643,0/0/1796633/0/2760,0/0/1800236/0/2783,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"South Australia",AU-SA,1717000,0/0/518852/0/444,0/0/595398/0/533,0/0/711189/0/679,0/0/753585/0/782,0/0/768961/0/946,0/0/780106/0/1029,0/0/809861/0/1067,0/0/862043/0/1155,0/0/873807/0/1235,0/0/880207/0/1322,0/0/883620/0/1365,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,Tasmania,AU-TAS,519100,0/0/164972/0/76,0/0/189244/0/92,0/0/231946/0/141,0/0/245768/0/180,0/0/249621/0/187,0/0/252630/0/193,0/0/260950/0/201,0/0/280254/0/224,0/0/284623/0/244,0/0/286264/0/252,0/0/287507/0/256,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,Victoria,AU-VIC,6244200,0/0/1906427/0/3434,0/0/2118366/0/3934,0/0/2428598/0/4662,0/0/2566951/0/5325,0/0/2613835/0/5678,0/0/2651262/0/5841,0/0/2737064/0/6040,0/0/2837191/0/6405,0/0/2861932/0/7116,0/0/2874262/0/7317,0/0/2880559/0/7370,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"Western Australia",AU-WA,2567800,0/0/744179/0/255,0/0/908851/0/394,0/0/1067731/0/504,0/0/1130757/0/590,0/0/1154732/0/658,0/0/1174785/0/696,0/0/1209214/0/750,0/0/1255595/0/837,0/0/1282523/0/920,0/0/1291077/0/944,0/0/1293461/0/952,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Austria,AT,,,8858775,6828771/187746906/4288153/0/19927,6831552/189791719/4459767/0/20048,6880335/0/4774043/0/20317,6883658/0/4956010/0/20639,6887429/0/5131527/0/20743,6891420/0/5439567/0/20981,6894948/0/5561633/0/21210,6895915/0/5705093/0/21443,0/0/5780229/0/21689,6898666/0/5911294/0/21887,6899498/0/6034370/0/22139,6899680/0/6065312/0/22372,6899798/0/6077153/0/22509,6899873/0/6081287/0/22534,0/0/6081287/0/22534,0/0/6081287/0/22534,0/0/6081287/0/22534,0/0/6081287/0/22534,0/0/6081287/0/22534,0/0/6081287/0/22534,0/0/6081287/0/22534,0/0/6081287/0/22534,0/0/6082341/0/22534,0/0/6082343/0/22534,0/0/0/0/0
